source_name	source_type	source_id	target_name	target_type	target_id	relation_type	resource	pmid
SMAD4	Gene	ENTREZ:4089	renal fibrosis	Disease	MONDO:0000494	GNBR::G::Gene:Disease	FIBROAD	22048127
SMAD4	Gene	ENTREZ:4089	endomyocardial fibrosis	Disease	MONDO:0006746	GNBR::D::Gene:Disease	FIBROAD	16151019
SMAD4	Gene	ENTREZ:4089	Fibrosis	Disease	MESH:D005355	GNBR::D::Gene:Disease	FIBROAD	17804724
SMAD6	Gene	ENTREZ:4091	adhesions of uterus	Disease	MONDO:0001809	GNBR::D::Gene:Disease	FIBROAD	32022446
SMAD6	Gene	ENTREZ:4091	Fibrosis	Disease	MESH:D005355	GNBR::D::Gene:Disease	FIBROAD	26507880
SMAD6	Gene	ENTREZ:4091	endomyocardial fibrosis	Disease	MONDO:0006746	GNBR::D::Gene:Disease	FIBROAD	22283839
SMAD6	Gene	ENTREZ:4091	pulmonary fibrosis	Disease	MONDO:0002771	GNBR::D::Gene:Disease	FIBROAD	22613712
SMARCA4	Gene	ENTREZ:6597	endomyocardial fibrosis	Disease	MONDO:0006746	GNBR::D::Gene:Disease	FIBROAD	27929112
SMARCA4	Gene	ENTREZ:6597	fibrotic liver disease	Disease	MONDO:0100430	GNBR::G::Gene:Disease	FIBROAD	33650193
SMARCA4	Gene	ENTREZ:6597	endomyocardial fibrosis	Disease	MONDO:0006746	GNBR::G::Gene:Disease	FIBROAD	27601681
SNAI1	Gene	ENTREZ:6615	renal fibrosis	Disease	MONDO:0000494	GNBR::G::Gene:Disease	FIBROAD	26236991
SNAI1	Gene	ENTREZ:6615	renal fibrosis	Disease	MONDO:0000494	GNBR::G::Gene:Disease	FIBROAD	26236989
SNAI1	Gene	ENTREZ:6615	pulmonary fibrosis	Disease	MONDO:0002771	GNBR::G::Gene:Disease	FIBROAD	19850962
SNAI2	Gene	ENTREZ:6591	pulmonary fibrosis	Disease	MONDO:0002771	GNBR::G::Gene:Disease	FIBROAD	19850962
SNAI2	Gene	ENTREZ:6591	pulmonary fibrosis	Disease	MONDO:0002771	GNBR::G::Gene:Disease	FIBROAD	31391462
SNAI2	Gene	ENTREZ:6591	Fibrosis	Disease	MESH:D005355	GNBR::D::Gene:Disease	FIBROAD	31391462
SP1	Gene	ENTREZ:6667	endomyocardial fibrosis	Disease	MONDO:0006746	GNBR::G::Gene:Disease	FIBROAD	23633075
SP1	Gene	ENTREZ:6667	Fibrosis	Disease	MESH:D005355	GNBR::G::Gene:Disease	FIBROAD	19913614
SP1	Gene	ENTREZ:6667	Fibrosis	Disease	MESH:D005355	GNBR::G::Gene:Disease	FIBROAD	10618716
SP3	Gene	ENTREZ:6670	renal fibrosis	Disease	MONDO:0000494	GNBR::G::Gene:Disease	FIBROAD	23123404
SP1	Gene	ENTREZ:6667	Fibrosis	Disease	MESH:D005355	GNBR::G::Gene:Disease	FIBROAD	32721022
SP3	Gene	ENTREZ:6670	Fibrosis	Disease	MESH:D005355	GNBR::G::Gene:Disease	FIBROAD	32721022
SP1	Gene	ENTREZ:6667	keloid	Disease	MONDO:0005348	GNBR::G::Gene:Disease	FIBROAD	17698844
SP3	Gene	ENTREZ:6670	keloid	Disease	MONDO:0005348	GNBR::G::Gene:Disease	FIBROAD	17698844
SP1	Gene	ENTREZ:6667	renal fibrosis	Disease	MONDO:0000494	GNBR::G::Gene:Disease	FIBROAD	16603733
SP3	Gene	ENTREZ:6670	renal fibrosis	Disease	MONDO:0000494	GNBR::G::Gene:Disease	FIBROAD	16603733
STAT1	Gene	ENTREZ:6772	renal fibrosis	Disease	MONDO:0000494	GNBR::G::Gene:Disease	FIBROAD	31629675
STAT1	Gene	ENTREZ:6772	fibrotic liver disease	Disease	MONDO:0100430	GNBR::D::Gene:Disease	FIBROAD	31530714
