source_name	source_type	target_name	target_type	source_id	target_id	pmid	relation_type	resource
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	31757997	GNBR::Y::Gene:Disease	CBCG
Intergenic	Gene	Breast Cancer	Disease		MONDO:0004989	36356581	GNBR::Y::Gene:Disease	CBCG
LOC100128494	Gene	Breast Cancer	Disease		MONDO:0004989	15684076	GNBR::Y::Gene:Disease	CBCG
LOC100287329	Gene	Breast Cancer	Disease		MONDO:0004989	11841482	GNBR::Y::Gene:Disease	CBCG
LOC101928278	Gene	Breast Cancer	Disease		MONDO:0004989	17529974	GNBR::Y::Gene:Disease	CBCG
LOC101928278	Gene	Breast Cancer	Disease		MONDO:0004989	20453838	GNBR::Y::Gene:Disease	CBCG
LOC105369501	Gene	Breast Cancer	Disease		MONDO:0004989		GNBR::Y::Gene:Disease	CBCG
LOC105369828	Gene	Breast Cancer	Disease		MONDO:0004989	36424660	GNBR::Y::Gene:Disease	CBCG
LOC105371082	Gene	Breast Cancer	Disease		MONDO:0004989	37526791	GNBR::Y::Gene:Disease	CBCG
LOC105371274	Gene	Breast Cancer	Disease		MONDO:0004989	29059683	GNBR::Y::Gene:Disease	CBCG
LOC105371274	Gene	Breast Cancer	Disease		MONDO:0004989	36356581	GNBR::Y::Gene:Disease	CBCG
LOC105373874	Gene	Breast Cancer	Disease		MONDO:0004989	17529974	GNBR::Y::Gene:Disease	CBCG
LOC105373874	Gene	Breast Cancer	Disease		MONDO:0004989	20453838	GNBR::Y::Gene:Disease	CBCG
LOC105375404	Gene	Breast Cancer	Disease		MONDO:0004989	29059683	GNBR::Y::Gene:Disease	CBCG
LOC105375508	Gene	Breast Cancer	Disease		MONDO:0004989	36831624	GNBR::Y::Gene:Disease	CBCG
LOC105375739	Gene	Breast Cancer	Disease		MONDO:0004989	29058716	GNBR::Y::Gene:Disease	CBCG
LOC105375739	Gene	Breast Cancer	Disease		MONDO:0004989	36356581	GNBR::Y::Gene:Disease	CBCG
LOC105376214	Gene	Breast Cancer	Disease		MONDO:0004989	25652398	GNBR::Y::Gene:Disease	CBCG
LOC105376214	Gene	Breast Cancer	Disease		MONDO:0004989	25652398	GNBR::Y::Gene:Disease	CBCG
LOC105377871	Gene	Breast Cancer	Disease		MONDO:0004989	22976474	GNBR::Y::Gene:Disease	CBCG
LOC105379003	Gene	Breast Cancer	Disease		MONDO:0004989	22923054	GNBR::Y::Gene:Disease	CBCG
LOC107984214	Gene	Breast Cancer	Disease		MONDO:0004989	23535729	GNBR::Y::Gene:Disease	CBCG
LOC107984284	Gene	Breast Cancer	Disease		MONDO:0004989	26925658	GNBR::Y::Gene:Disease	CBCG
LOC107985393	Gene	Breast Cancer	Disease		MONDO:0004989	18634034	GNBR::Y::Gene:Disease	CBCG
LOC107985515	Gene	Breast Cancer	Disease		MONDO:0004989	27354352	GNBR::Y::Gene:Disease	CBCG
LOC107985515	Gene	Breast Cancer	Disease		MONDO:0004989	36356581	GNBR::Y::Gene:Disease	CBCG
LOC107985532	Gene	Breast Cancer	Disease		MONDO:0004989	29317318	GNBR::Y::Gene:Disease	CBCG
LOC107985535	Gene	Breast Cancer	Disease		MONDO:0004989	29059683	GNBR::Y::Gene:Disease	CBCG
LOC107985535	Gene	Breast Cancer	Disease		MONDO:0004989	36356581	GNBR::Y::Gene:Disease	CBCG
LOC107986820	Gene	Breast Cancer	Disease		MONDO:0004989	30323354	GNBR::Y::Gene:Disease	CBCG
LOC107986854	Gene	Breast Cancer	Disease		MONDO:0004989	24743323	GNBR::Y::Gene:Disease	CBCG
LOC107986854	Gene	Breast Cancer	Disease		MONDO:0004989	36356581	GNBR::Y::Gene:Disease	CBCG
LOC107986930	Gene	Breast Cancer	Disease		MONDO:0004989	36356581	GNBR::Y::Gene:Disease	CBCG
LOC107986961	Gene	Breast Cancer	Disease		MONDO:0004989	29059683	GNBR::Y::Gene:Disease	CBCG
LOC107987209	Gene	Breast Cancer	Disease		MONDO:0004989	36356581	GNBR::Y::Gene:Disease	CBCG
LOC112268294	Gene	Breast Cancer	Disease		MONDO:0004989	29479969	GNBR::Y::Gene:Disease	CBCG
LOC124900631	Gene	Breast Cancer	Disease		MONDO:0004989	36424660	GNBR::Y::Gene:Disease	CBCG
LOC124900868	Gene	Breast Cancer	Disease		MONDO:0004989	36356581	GNBR::Y::Gene:Disease	CBCG
LOC124901298	Gene	Breast Cancer	Disease		MONDO:0004989	36424660	GNBR::Y::Gene:Disease	CBCG
LOC124901298	Gene	Breast Cancer	Disease		MONDO:0004989	36424660	GNBR::Y::Gene:Disease	CBCG
LOC124901298	Gene	Breast Cancer	Disease		MONDO:0004989	36424660	GNBR::Y::Gene:Disease	CBCG
LOC124901298	Gene	Breast Cancer	Disease		MONDO:0004989	36424660	GNBR::Y::Gene:Disease	CBCG
LOC124901298	Gene	Breast Cancer	Disease		MONDO:0004989	36424660	GNBR::Y::Gene:Disease	CBCG
LOC124901435	Gene	Breast Cancer	Disease		MONDO:0004989	36595122	GNBR::Y::Gene:Disease	CBCG
LOC124901435	Gene	Breast Cancer	Disease		MONDO:0004989	37524136	GNBR::Y::Gene:Disease	CBCG
LOC124902020	Gene	Breast Cancer	Disease		MONDO:0004989	36356581	GNBR::Y::Gene:Disease	CBCG
LOC124905970	Gene	Breast Cancer	Disease		MONDO:0004989	36356581	GNBR::Y::Gene:Disease	CBCG
LOC124909400	Gene	Breast Cancer	Disease		MONDO:0004989	36356581	GNBR::Y::Gene:Disease	CBCG
RAD51L3-RFFL	Gene	Breast Cancer	Disease		MONDO:0004989	15170666	GNBR::Y::Gene:Disease	CBCG
RAD51L3-RFFL	Gene	Breast Cancer	Disease		MONDO:0004989	30165555	GNBR::Y::Gene:Disease	CBCG
TopBP1	Gene	Breast Cancer	Disease		MONDO:0004989	16930991	GNBR::Y::Gene:Disease	CBCG
