source_name	source_type	target_name	target_type	source_id	target_id	pmid	relation_type	resource
CCDC170	Gene	Breast Cancer	Disease	ENTREZ:80129		26928228	GNBR::Y::Gene:Disease	CBCG
CCDC170	Gene	Breast Cancer	Disease	ENTREZ:80129		29058716	GNBR::Y::Gene:Disease	CBCG
CCDC170	Gene	Breast Cancer	Disease	ENTREZ:80129		25116933	GNBR::Y::Gene:Disease	CBCG
CCDC88C	Gene	Breast Cancer	Disease	ENTREZ:440193		23535729	GNBR::Y::Gene:Disease	CBCG
CCDC88C	Gene	Breast Cancer	Disease	ENTREZ:440193		36356581	GNBR::Y::Gene:Disease	CBCG
CCDC91	Gene	Breast Cancer	Disease	ENTREZ:55297		27459855	GNBR::Y::Gene:Disease	CBCG
CCND1	Gene	Breast Cancer	Disease	ENTREZ:595		36534235	GNBR::Y::Gene:Disease	CBCG
CCNE1	Gene	Breast Cancer	Disease	ENTREZ:898		25159285	GNBR::Y::Gene:Disease	CBCG
CCNE1	Gene	Breast Cancer	Disease	ENTREZ:898		18174243	GNBR::Y::Gene:Disease	CBCG
CDC27	Gene	Breast Cancer	Disease	ENTREZ:996		25680405	GNBR::Y::Gene:Disease	CBCG
CDH1	Gene	Breast Cancer	Disease	ENTREZ:999		11729114	GNBR::Y::Gene:Disease	CBCG
CDH1	Gene	Breast Cancer	Disease	ENTREZ:999		33471991	GNBR::Y::Gene:Disease	CBCG
CDH1	Gene	Breast Cancer	Disease	ENTREZ:999		36910346	GNBR::Y::Gene:Disease	CBCG
CDKAL1	Gene	Breast Cancer	Disease	ENTREZ:54901		29059683	GNBR::Y::Gene:Disease	CBCG
CDKN1A	Gene	Breast Cancer	Disease	ENTREZ:1026		18174243	GNBR::Y::Gene:Disease	CBCG
CDKN1B	Gene	Breast Cancer	Disease	ENTREZ:1027		18174243	GNBR::Y::Gene:Disease	CBCG
CDKN2A	Gene	Breast Cancer	Disease	ENTREZ:1029		15879498	GNBR::Y::Gene:Disease	CBCG
CDKN2B-AS1	Gene	Breast Cancer	Disease	ENTREZ:100048912		20453838	GNBR::Y::Gene:Disease	CBCG
CDKN2B-AS1	Gene	Breast Cancer	Disease	ENTREZ:100048912		32139696	GNBR::Y::Gene:Disease	CBCG
CDYL2	Gene	Breast Cancer	Disease	ENTREZ:124359		23535729	GNBR::Y::Gene:Disease	CBCG
CDYL2	Gene	Breast Cancer	Disease	ENTREZ:124359		36356581	GNBR::Y::Gene:Disease	CBCG
CEP131	Gene	Breast Cancer	Disease	ENTREZ:22994		34981446	GNBR::Y::Gene:Disease	CBCG
CEP131	Gene	Breast Cancer	Disease	ENTREZ:22994		34981446	GNBR::Y::Gene:Disease	CBCG
CEP131	Gene	Breast Cancer	Disease	ENTREZ:22994		34981446	GNBR::Y::Gene:Disease	CBCG
CHEK2	Gene	Breast Cancer	Disease	ENTREZ:11200		35042965	GNBR::Y::Gene:Disease	CBCG
CHEK2	Gene	Breast Cancer	Disease	ENTREZ:11200		33471991	GNBR::Y::Gene:Disease	CBCG
CHEK2	Gene	Breast Cancer	Disease	ENTREZ:11200		35884425	GNBR::Y::Gene:Disease	CBCG
CHEK2	Gene	Breast Cancer	Disease	ENTREZ:11200		35396981	GNBR::Y::Gene:Disease	CBCG
CHEK2	Gene	Breast Cancer	Disease	ENTREZ:11200		15239132	GNBR::Y::Gene:Disease	CBCG
CHEK2	Gene	Breast Cancer	Disease	ENTREZ:11200		11967536	GNBR::Y::Gene:Disease	CBCG
CHEK2	Gene	Breast Cancer	Disease	ENTREZ:11200		15122511	GNBR::Y::Gene:Disease	CBCG
CHEK2	Gene	Breast Cancer	Disease	ENTREZ:11200		12094328	GNBR::Y::Gene:Disease	CBCG
CHEK2	Gene	Breast Cancer	Disease	ENTREZ:11200		18172190	GNBR::Y::Gene:Disease	CBCG
CHIC2	Gene	Breast Cancer	Disease	ENTREZ:26511		36424660	GNBR::Y::Gene:Disease	CBCG
CLDN10	Gene	Breast Cancer	Disease	ENTREZ:9071		30544377	GNBR::Y::Gene:Disease	CBCG
CLIP1	Gene	Breast Cancer	Disease	ENTREZ:6249		36424660	GNBR::Y::Gene:Disease	CBCG
CMSS1	Gene	Breast Cancer	Disease	ENTREZ:84319		29059683	GNBR::Y::Gene:Disease	CBCG
CMSS1	Gene	Breast Cancer	Disease	ENTREZ:84319		36356581	GNBR::Y::Gene:Disease	CBCG
CNTNAP1	Gene	Breast Cancer	Disease	ENTREZ:8506		29059683	GNBR::Y::Gene:Disease	CBCG
CNTRL	Gene	Breast Cancer	Disease	ENTREZ:11064		36424660	GNBR::Y::Gene:Disease	CBCG
COMT	Gene	Breast Cancer	Disease	ENTREZ:1312		30461653	GNBR::Y::Gene:Disease	CBCG
COPS2	Gene	Breast Cancer	Disease	ENTREZ:9318		31026346	GNBR::Y::Gene:Disease	CBCG
CREB5	Gene	Breast Cancer	Disease	ENTREZ:9586		29059683	GNBR::Y::Gene:Disease	CBCG
CTLA4	Gene	Breast Cancer	Disease	ENTREZ:1493		36652567	GNBR::Y::Gene:Disease	CBCG
CTNNA2	Gene	Breast Cancer	Disease	ENTREZ:1496		25824743	GNBR::Y::Gene:Disease	CBCG
CTNNB1	Gene	Breast Cancer	Disease	ENTREZ:1499		nan	GNBR::Y::Gene:Disease	CBCG
CUX1	Gene	Breast Cancer	Disease	ENTREZ:1523		36424660	GNBR::Y::Gene:Disease	CBCG
CYP17A1	Gene	Breast Cancer	Disease	ENTREZ:1586		18006912	GNBR::Y::Gene:Disease	CBCG
CYP17A1	Gene	Breast Cancer	Disease	ENTREZ:1586		10404084	GNBR::Y::Gene:Disease	CBCG
CYP19A1	Gene	Breast Cancer	Disease	ENTREZ:1588		27165202	GNBR::Y::Gene:Disease	CBCG
CYP19A1	Gene	Breast Cancer	Disease	ENTREZ:1588		17975727	GNBR::Y::Gene:Disease	CBCG
CYP1A1	Gene	Breast Cancer	Disease	ENTREZ:1543		23000097	GNBR::Y::Gene:Disease	CBCG
CYP1A2	Gene	Breast Cancer	Disease	ENTREZ:1544		19415745	GNBR::Y::Gene:Disease	CBCG
CYP1A2	Gene	Breast Cancer	Disease	ENTREZ:1544		16103451	GNBR::Y::Gene:Disease	CBCG
CYP1B1	Gene	Breast Cancer	Disease	ENTREZ:1545		12415427	GNBR::Y::Gene:Disease	CBCG
CYP1B1	Gene	Breast Cancer	Disease	ENTREZ:1545		20099199	GNBR::Y::Gene:Disease	CBCG
CYP2B7P	Gene	Breast Cancer	Disease	ENTREZ:1556		21908515	GNBR::Y::Gene:Disease	CBCG
CYP2C19	Gene	Breast Cancer	Disease	ENTREZ:1557		22180071	GNBR::Y::Gene:Disease	CBCG
CYP2D6	Gene	Breast Cancer	Disease	ENTREZ:1565		29479969	GNBR::Y::Gene:Disease	CBCG
CYP2D6	Gene	Breast Cancer	Disease	ENTREZ:1565		8564925	GNBR::Y::Gene:Disease	CBCG
