drugbank_id	status	valid
DB00567	{'approved', 'vet_approved', 'investigational'}	True
DB00568	{'approved', 'investigational'}	True
DB00569	{'approved', 'investigational'}	True
DB00570	{'approved'}	True
DB00571	{'approved', 'investigational'}	True
DB00572	{'approved', 'vet_approved'}	True
DB00573	{'approved'}	True
DB00574	{'approved', 'illicit', 'withdrawn', 'investigational'}	True
DB00575	{'approved'}	True
DB00576	{'approved', 'vet_approved', 'investigational'}	True
DB00577	{'approved', 'investigational'}	True
DB00578	{'approved', 'investigational'}	True
DB00579	{'approved', 'investigational'}	True
DB00580	{'approved', 'withdrawn', 'investigational'}	True
DB00581	{'approved'}	True
DB00582	{'approved'}	True
DB00583	{'approved', 'investigational'}	True
DB00584	{'approved', 'vet_approved'}	True
DB00585	{'approved'}	True
DB00586	{'approved', 'vet_approved'}	True
DB00587	{'experimental'}	True
DB00588	{'approved'}	True
DB00589	{'approved', 'investigational'}	True
DB00590	{'approved'}	True
DB00591	{'approved', 'vet_approved', 'investigational'}	True
DB00592	{'approved', 'vet_approved'}	True
DB00593	{'approved'}	True
DB00594	{'approved'}	True
DB00595	{'approved', 'vet_approved', 'investigational'}	True
DB00596	{'approved'}	True
DB00597	{'approved', 'investigational'}	True
DB00598	{'approved'}	True
DB00599	{'approved', 'vet_approved'}	True
DB00600	{'approved'}	True
DB00601	{'approved', 'investigational'}	True
DB00602	{'approved', 'vet_approved', 'investigational'}	True
DB00603	{'approved', 'investigational'}	True
DB00604	{'approved', 'withdrawn', 'investigational'}	True
DB00605	{'approved', 'investigational'}	True
DB00606	{'approved'}	True
DB00607	{'approved', 'investigational'}	True
DB00608	{'approved', 'vet_approved', 'investigational'}	True
DB00609	{'approved'}	True
DB00610	{'approved', 'investigational'}	True
DB00611	{'approved', 'illicit', 'vet_approved'}	True
DB00612	{'approved'}	True
DB00613	{'approved', 'investigational'}	True
DB00614	{'vet_approved', 'experimental'}	True
DB00615	{'approved', 'investigational'}	True
DB00616	{'experimental'}	True
DB00617	{'approved'}	True
DB00618	{'approved'}	True
DB00619	{'approved'}	True
DB00620	{'approved', 'vet_approved'}	True
DB00621	{'approved', 'investigational'}	True
DB00622	{'approved', 'investigational'}	True
DB00623	{'approved'}	True
DB00624	{'approved', 'investigational'}	True
DB00625	{'approved', 'investigational'}	True
DB00626	{'approved', 'vet_approved'}	True
DB00627	{'approved', 'nutraceutical', 'investigational'}	True
DB00628	{'approved', 'illicit'}	True
DB00629	{'approved', 'investigational'}	True
DB00630	{'approved'}	True
DB00631	{'approved', 'investigational'}	True
DB00632	{'approved', 'investigational'}	True
DB00633	{'approved', 'vet_approved'}	True
DB00634	{'approved'}	True
DB00635	{'approved', 'vet_approved'}	True
DB00636	{'approved', 'investigational'}	True
DB00637	{'approved', 'withdrawn'}	True
DB00638	{'approved', 'nutraceutical', 'investigational'}	True
DB00639	{'approved'}	True
DB00640	{'approved', 'investigational'}	True
DB00641	{'approved'}	True
DB00642	{'approved', 'investigational'}	True
DB00643	{'approved', 'vet_approved'}	True
DB00644	{'approved', 'vet_approved', 'investigational'}	True
DB00645	{'approved'}	True
DB00646	{'approved', 'vet_approved'}	True
DB00647	{'approved', 'illicit', 'withdrawn', 'investigational'}	True
DB00648	{'approved'}	True
DB00649	{'approved', 'investigational'}	True
DB00650	{'approved'}	True
DB00651	{'approved'}	True
DB00652	{'approved', 'vet_approved'}	True
DB00653	{'approved', 'vet_approved', 'investigational'}	True
DB00654	{'approved', 'investigational'}	True
DB00655	{'approved'}	True
DB00656	{'approved', 'investigational'}	True
DB00657	{'approved', 'investigational'}	True
DB00658	{'approved'}	True
DB00659	{'approved', 'investigational'}	True
DB00660	{'approved'}	True
DB00661	{'approved'}	True
DB00662	{'approved', 'investigational'}	True
DB00663	{'approved', 'vet_approved'}	True
DB00664	{'approved', 'withdrawn'}	True
DB00665	{'approved', 'investigational'}	True
DB00666	{'approved'}	True
DB00668	{'approved', 'vet_approved'}	True
DB00669	{'approved', 'investigational'}	True
DB00670	{'approved'}	True
DB00671	{'approved', 'investigational'}	True
DB00672	{'approved', 'investigational'}	True
DB00673	{'approved', 'investigational'}	True
DB00674	{'approved'}	True
DB00675	{'approved'}	True
DB00676	{'approved'}	True
DB00677	{'approved', 'withdrawn', 'investigational'}	True
DB00678	{'approved'}	True
DB00679	{'approved', 'withdrawn'}	True
DB00680	{'approved', 'withdrawn', 'investigational'}	True
DB00681	{'approved', 'investigational'}	True
DB00682	{'approved'}	True
DB00683	{'approved', 'illicit'}	True
DB00684	{'approved', 'investigational'}	True
DB00685	{'approved', 'withdrawn', 'investigational'}	True
DB00686	{'approved'}	True
DB00687	{'approved', 'investigational'}	True
DB00688	{'approved', 'investigational'}	True
DB00689	{'approved'}	True
DB00690	{'approved', 'illicit', 'investigational'}	True
