TTDDRUID	Drug_id
D03WWG	PUBCHEM:53395169
D03XES	PUBCHEM:11630995
D03XOC	PUBCHEM:656583
D03XSJ	PUBCHEM:6729
D03XTC	PUBCHEM:59768
D03XYW	PUBCHEM:3342
D03YGR	PUBCHEM:156419
D03YLZ	PUBCHEM:27200
D03YVO	PUBCHEM:5361917
D03ZBN	PUBCHEM:4593
D03ZBT	PUBCHEM:11626560
D03ZFG	PUBCHEM:5282054
D03ZFN	PUBCHEM:6503
D03ZTE	PUBCHEM:10133
D03ZZK	PUBCHEM:9642
D04AAN	PUBCHEM:4078
D04AAW	PUBCHEM:60613
D04ACW	PUBCHEM:71300638
D04AIT	PUBCHEM:5280445
D04APR	PUBCHEM:104902
D04AQH	PUBCHEM:16132413
D04ASH	PUBCHEM:657180
D04ATM	PUBCHEM:68926
D04BCB	PUBCHEM:9826451
D04BCW	PUBCHEM:10101
D04BKZ	PUBCHEM:160036
D04BNP	PUBCHEM:5391
D04CBI	PUBCHEM:68861
D04CFW	PUBCHEM:441397
D04CJL	PUBCHEM:61300
D04CRL	PUBCHEM:3081884
D04CRN	PUBCHEM:54841
D04CSZ	PUBCHEM:1254
D04DKH	PUBCHEM:4418
D04DXA	PUBCHEM:46908929
D04DXN	PUBCHEM:7187
D04EGX	PUBCHEM:54746
D04EYC	PUBCHEM:5906
D04FBR	PUBCHEM:5281078
D04FVU	PUBCHEM:6337614
D04GJN	PUBCHEM:19090
D04GKO	PUBCHEM:56330
D04GSY	PUBCHEM:50224
D04GYO	PUBCHEM:5353853
D04GZA	PUBCHEM:11057
D04IEM	PUBCHEM:101656010
D04ITO	PUBCHEM:6436173
D04JCN	PUBCHEM:47811
D04JEE	PUBCHEM:4946
D04JHN	PUBCHEM:5284570
D04JMQ	PUBCHEM:10463381
D04JPJ	PUBCHEM:3950
D04KAQ	PUBCHEM:33478
D04KJO	PUBCHEM:3410
D04KTZ	PUBCHEM:6098
D04KYY	PUBCHEM:135401907
D04KZY	PUBCHEM:49803313
D04LCQ	PUBCHEM:9868491
D04LHJ	PUBCHEM:5459110
D04LKS	PUBCHEM:25126798
D04LVK	PUBCHEM:57379345
D04LYD	PUBCHEM:2273
D04MGU	PUBCHEM:6328682
D04MRG	PUBCHEM:442089
D04MRQ	PUBCHEM:3752
D04MSM	PUBCHEM:2554
D04MWJ	PUBCHEM:6114
D04NDM	PUBCHEM:165580
D04NQI	PUBCHEM:2165
D04NTJ	PUBCHEM:32778
D04NXQ	PUBCHEM:51081
D04OBB	PUBCHEM:4761
D04ODH	PUBCHEM:638793
D04OSE	PUBCHEM:4485
D04PAN	PUBCHEM:9873
D04PHC	PUBCHEM:5816
D04QIE	PUBCHEM:11526038
D04QJD	PUBCHEM:135398742
D04QLR	PUBCHEM:3180
D04QNO	PUBCHEM:40000
D04QSJ	PUBCHEM:3052762
D04QST	PUBCHEM:493570
D04QWE	PUBCHEM:5359371
D04QZD	PUBCHEM:9881504
D04RGA	PUBCHEM:5282415
D04RLY	PUBCHEM:40839
D04RYU	PUBCHEM:441856
D04SFH	PUBCHEM:247839
D04TDQ	PUBCHEM:4544
D04TQO	PUBCHEM:71587953
D04UAL	PUBCHEM:6335903
D04UKC	PUBCHEM:11304743
D04URO	PUBCHEM:9815560
D04USC	PUBCHEM:774
D04UTT	PUBCHEM:11504295
D04UUH	PUBCHEM:11125
D04UZN	PUBCHEM:65404
D04UZT	PUBCHEM:9046
D04VEJ	PUBCHEM:54707177
D04VFJ	PUBCHEM:3005573
D04VIS	PUBCHEM:5318517
D04VKS	PUBCHEM:24144
D04VMT	PUBCHEM:5253
D04VPA	PUBCHEM:34633
D04VXN	PUBCHEM:441242
D04WFD	PUBCHEM:4543
D04WJO	PUBCHEM:5486799
D04WOM	PUBCHEM:16132296
D04WYX	PUBCHEM:66599893
D04XDT	PUBCHEM:11578213
D04XEG	PUBCHEM:3343
D04XGT	PUBCHEM:31593
D04XPW	PUBCHEM:446220
D04XVN	PUBCHEM:11707110
D04YHR	PUBCHEM:9810246
D04YMH	PUBCHEM:151166
D04YPN	PUBCHEM:9882105
D04YZL	PUBCHEM:5234
D04ZAH	PUBCHEM:43672
D04ZBT	PUBCHEM:6918173
D04ZTY	PUBCHEM:444020
D05AFC	PUBCHEM:6323289
D05AFR	PUBCHEM:54682938
D05AFX	PUBCHEM:4450
D05AHE	PUBCHEM:8226
D05ARP	PUBCHEM:135398740
D05ATI	PUBCHEM:3423265
D05AWP	PUBCHEM:9832912
D05BJD	PUBCHEM:158385
D05BMG	PUBCHEM:3007
D05BQK	PUBCHEM:2481
D05BTM	PUBCHEM:6398761
D05CEU	PUBCHEM:941361
D05CHI	PUBCHEM:135398743
D05CKR	PUBCHEM:4409
D05CPV	PUBCHEM:208898
D05DVP	PUBCHEM:5717
D05EAM	PUBCHEM:4735
D05EJG	PUBCHEM:6305
D05ELO	PUBCHEM:16131098
D05ELV	PUBCHEM:5727
D05EMG	PUBCHEM:160883
D05EPM	PUBCHEM:3292
D05FGG	PUBCHEM:135415867
D05FTJ	PUBCHEM:4044
D05GJW	PUBCHEM:20279
D05GKD	PUBCHEM:33741
D05GPO	PUBCHEM:5281071
D05GRY	PUBCHEM:71308561
D05HFN	PUBCHEM:6326947
D05HFY	PUBCHEM:54676537
D05HPI	PUBCHEM:16134395
D05HSC	PUBCHEM:6000
D05HXX	PUBCHEM:5526
D05IHU	PUBCHEM:5419
D05IPF	PUBCHEM:56842229
D05IWE	PUBCHEM:16200124
D05JDR	PUBCHEM:5282242
D05JFY	PUBCHEM:9351; 6883
D05JNI	PUBCHEM:8378
D05KEZ	PUBCHEM:6337
D05KON	PUBCHEM:3331
D05LBU	PUBCHEM:5472
D05LEO	PUBCHEM:3385
D05LKP	PUBCHEM:5215
D05LQX	PUBCHEM:11156438
D05LYX	PUBCHEM:3488
D05MBZ	PUBCHEM:129211
D05MFA	PUBCHEM:135398741
D05MFG	PUBCHEM:5311447
D05MIL	PUBCHEM:56016
D05MKA	PUBCHEM:90472060
D05MNW	PUBCHEM:127053480
D05MPX	PUBCHEM:30160
D05MQK	PUBCHEM:110635
D05NFR	PUBCHEM:135565923
D05NOS	PUBCHEM:5568
D05NUH	PUBCHEM:54758501
D05OEU	PUBCHEM:68726
